val,City name,City name (CDP),City name (carbonn),City name (PKU),City name (GEA),City name (UITP),City name (WB),Definition (CDP),Definition (carbonn),Definition (WB),Study year (WB),Reporting year (CDP),Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,Latitude (others) [degrees],Longitude (others) [degrees],Country,Region,Population (CDP),Population year (CDP),Population (others),Population year (others)
211,Okayama,City of Okayama,,,,,,Administrative boundary of a local government,,,,2016,114000,CDP,tCO2-eq,2013,34.65,133.916667,Japan,East Asia,705917,2015,720841,2017
212,Osaka,,Osaka Prefecture,,,Osaka,,,State / Region,,,,50040000,carbonn,tCO2-eq,2009,34.69,135.52,Japan,East Asia,,,8864228,2012
213,Oslo,City of Oslo,,,Oslo,Oslo,,Administrative boundary of a local government,,,,2016,1094422,CDP,tCO2-eq,2013,59.95,10.75,Norway,Europe,658390,2016,660000,2016
214,Palmas,Prefeitura de Palmas,,,,,,A metropolitan area,,,,2016,589055.31,CDP,tCO2-eq,2013,-10.184,-48.333611,Brazil,Latin America & Caribbean,272726,2015,265090,2014
215,Palo Alto,City of Palo Alto,,,,,,Administrative boundary of a local government,,,,2016,152631,CDP,tCO2-eq,2015,37.429,-122.138056,USA,North America,66955,2015,67024,2016
216,Paris,City of Paris,,,Paris,Paris,,Administrative boundary of a local government,,,,2016,3359242,CDP,tCO2-eq,2014,48.857,2.3508,France,Europe,2265886,2015,2270000,2016
217,Pasig,,City Government of Pasig,,,,,,Municipality,,,,659168,carbonn,tCO2-eq,2010,14.5763768,121.0851097,Philippines,Southeast Asia,,,755300,2015
218,"Peterborough, ON",City of Peterborough,,,,,,A metropolitan area,,,,2016,,CDP,tCO2-eq,2011,44.3,-78.316667,Canada,North America,78698,2011,81032,2016
219,Philadelphia,City of Philadelphia,,,,,,Administrative boundary of a local government,,,,2016,12397594.06,CDP,tCO2-eq,2012,39.95,-75.166667,USA,North America,1560297,2014,1567872,2016
220,Phuket,,Phuket City Municipality,,,,,,Municipality,,,,480265,carbonn,tCO2-eq,2013,7.88875,98.39779,Thailand,Southeast Asia,,,75573,2007
221,Piacenza,Comune di Piacenza,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,1990,45.048,9.700556,Italy,Europe,102269,2014,100413,2012
222,"Piedmont, CA","City of Piedmont, CA",,,,,,Other:,,,,2016,17876,CDP,tCO2-eq,2011,37.817,-122.233333,USA,North America,11082,2013,11353,2016
223,Pimpri-Chinchwad,,Pimpri Chinchwad Municipal Corporation,,,,,,Municipality,,,,3185501,carbonn,tCO2-eq,2012,18.6298,73.7997,India,South Asia,,,1729320,2011
224,Pingdingshan,,,Pingdingshan,,,,,,,,,929863.268202,PKU,tCO2,2010,33.7333333333,113.3,China,East Asia,,,979130,
225,Pingtung,Pingtung County Government,,,,,,Administrative boundary of a local government,,,,2017,2768427.4,CDP,tCO2-eq,2013,22.675,120.491414,Taiwan,East Asia,835792,2016,839001,2016
226,Pittsburgh,City of Pittsburgh,,,,,,Administrative boundary of a local government,,,,2016,2073556,CDP,tCO2-eq,2013,40.44,-79.976389,USA,North America,305704,2016,303625,2016
227,"Portland, OR","City of Portland, OR",,,Portland,,Portland,Administrative boundary of a local government,,City ,2005,2016,4610317,CDP,tCO2-eq,2014,45.52,-122.681944,USA,North America,619360,2014,639863,2016
228,Porto,City of Porto,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2009,41.162,-8.621953,Portugal,Europe,238954,2011,287591,2011
229,Porto Alegre,Municipality of Porto Alegre,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2013,-30.033,-51.23,Brazil,Latin America & Caribbean,1409351,2010,1481019,2016
230,Pretoria Tshwane,Pretoria - Tshwane,,,Tshwane ,,,A metropolitan area,,,,2016,4648959,CDP,tCO2-eq,2015,-25.667,28.333333,South Africa,Africa,3200000,2016,3200000,2016
231,Probolinggo,,City of Probolinggo,,,,,,Municipality,,,,235623,carbonn,tCO2-eq,2010,-7.777007,113.202187,Indonesia,Southeast Asia,,,223159,2014
232,Pune,,Pune Municipal Corporation,,,,,,Municipality,,,,4661066,carbonn,tCO2-eq,2011,18.5203,73.8567,India,South Asia,,,3124458,2011
233,Qingdao,,,Qingdao,Qingdao,,,,,,,,14564735.0219,PKU,tCO2,2010,36.0666666667,120.383333333,China,East Asia,,,6188100,
234,Qiqihaer,,,Qiqihaer,,,,,,,,,1447990.44292,PKU,tCO2,2010,47.35,123.916666667,China,East Asia,,,1481637,
235,Quezon,,City of Quezon City,,,,,,Special municipality / Federal district,,,,713312132,carbonn,tCO2-eq,2010,14.67604,121.0437,Philippines,Southeast Asia,,,2936116,2015
236,Quito,Distrito Metropolitano de Quito,,,,,,A metropolitan area,,,,2016,4653611,CDP,tCO2-eq,2011,-0.217,-78.516667,Ecuador,Latin America & Caribbean,2239191,2010,2550000,2016
237,Rajkot,,Rajkot Municipal Corporation,,,,,,Municipality,,,,2019912,carbonn,tCO2-eq,2015,22.3039,70.80216,India,South Asia,,,1442975,2016
238,Ravenna,Comune di Ravenna,,,,,,Administrative boundary of a local government,,,,2016,11115,CDP,tCO2,2014,44.417,12.2,Italy,Europe,158911,2015,158784,2014
239,Recife,Municipality of Recife,,,,,,Administrative boundary of a local government,,,,2017,1333830,CDP,tCO2-eq,2015,-8.05,-34.9,Brazil,Latin America & Caribbean,1625583,2016,1555039,2012
240,Reno,City of Reno,,,,,,Administrative boundary of a local government,,,,2017,1371400,CDP,tCO2-eq,2014,39.527,-119.821944,USA,North America,236995,2014,245255,2016
241,Reykjavík,City of Reykjavík,,,,,,A metropolitan area,,,,2016,346630,CDP,tCO2-eq,2013,64.133,-21.933333,Iceland,Europe,122460,2015,123246,2016
242,"Richmond, VA","City of Richmond, VA",,,,,,Administrative boundary of a local government,,,,2016,1470127,CDP,tCO2,2013,37.533,-77.466667,USA,North America,217853,2014,223170,2016
243,Rio de Janeiro,Prefeitura do Rio de Janeiro,,,Rio de Janiero,Rio de Janeiro,Rio de Janeiro ,Administrative boundary of a local government,,City ,1998,2016,16171534,CDP,tCO2-eq,2012,-22.908,-43.196389,Brazil,Latin America & Caribbean,6476631,2015,6500000,2016
244,Roanoke,City of Roanoke,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2015,37.267,-79.933333,USA,North America,98465,2013,99660,2016
245,Roma,Roma Capitale,,,Roma (Rome),Rome,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2010,41.9,12.5,Italy,Europe,2868347,2015,2890000,2016
246,Rosario,,Municipality of Rosario,,,,,,Municipality,,,,3687016,carbonn,tCO2-eq,2014,-32.9442,-60.6505,Argentina,Latin America & Caribbean,,,1193605,2010
247,Rotterdam,Gemeente Rotterdam,,,,,,Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control.,,,,2017,17840039,CDP,tCO2,2016,51.917,4.5,Netherlands,Europe,624000,2014,620000,2016
248,Salvador,City of Salvador,,,,,,Administrative boundary of a local government,,,,2016,3242166,CDP,tCO2-eq,2013,-12.975,-38.476667,Brazil,Latin America & Caribbean,2902927,2014,2920000,2016
249,San Antonio,City of San Antonio,,,,,,Administrative boundary of a local government,,,,2016,7214051,CDP,tCO2-eq,2013,29.417,-98.5,USA,North America,1400000,2012,1492510,2016
