val,City name,City name (CDP),City name (carbonn),City name (PKU),City name (GEA),City name (UITP),City name (WB),Definition (CDP),Definition (carbonn),Definition (WB),Study year (WB),Reporting year (CDP),Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,Latitude (others) [degrees],Longitude (others) [degrees],Country,Region,Population (CDP),Population year (CDP),Population (others),Population year (others)
0,Aarhus,Aarhus Kommune,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2016,56.167,10.25,Denmark,Europe,320000,2016,330639,2016
1,Abington,Abington Township,,,,,,Other: Municipal boundary,,,,2016,193345,CDP,tCO2-eq,2010,40.1,-75.099722,USA,North America,55310,2010,55557,2016
2,Addis Ababa,Addis Ababa City Administration,,,,,,Administrative boundary of a local government,,,,2016,3708292,CDP,tCO2-eq,2012,9.03,38.74,Ethiopia,Africa,3384569,2008,3270000,2016
3,Adelaide,City of Adelaide,,,,,,Administrative boundary of a local government,,,,2016,63724,CDP,tCO2-eq,2013,-34.929,138.601,Australia,Oceania,23169,2015,22393,2010
4,Aerøskøbing,City of Ærøskøbing,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2015,54.883,10.333333,Denmark,Europe,6200,2015,6383,2014
5,Aguascalientes,,Municipality of Aguascalientes,,,,,,Municipality,,,,3839803,carbonn,tCO2-eq,2010,21.8897,-102.295,Mexico,Latin America & Caribbean,,,934424,2012
6,Ahmedabad,,Ahmedabad Municipal Corporation,,Ahmadabad,,,,Municipality,,,,13855311,carbonn,tCO2-eq,2008,23.03,72.58,India,South Asia,,,5633927,2011
7,"Ajax, ON","Town of Ajax, ON",,,,,,Administrative boundary of a local government,,,,2016,6354,CDP,tCO2,2008,43.858,-79.036389,Canada,North America,109600,2011,109600,2011
8,Albany,City of Albany,,,,,,Administrative boundary of a local government,,,,2017,663997,CDP,tCO2-eq,2010,42.653,-73.757222,USA,North America,97856,2010,98111,2016
9,"Alton, IL","City of Alton, IL",,,,,,Administrative boundary of a local government,,,,2016,138542,CDP,tCO2-eq,2013,38.901,-90.159722,USA,North America,26581,2015,26861,2016
10,Amman,Greater Amman Municipality,,,,,,A metropolitan area,,,,2016,3322603,CDP,tCO2-eq,2014,31.95,35.932778,Jordan,"North Africa, Middle East, West Asia",3604459,2015,4007526,2016
11,Amsterdam,City of Amsterdam,,,Amsterdam,Amsterdam,,Administrative boundary of a local government,,,,2016,2161000,CDP,tCO2,2016,52.367,4.9,Netherlands,Europe,822272,2015,810000,2016
12,Anshan,,,Anshan,,,,,,,,,3293364.54581,PKU,tCO2,2010,41.1166666667,122.983333333,China,East Asia,,,1529850,
13,Anyang,,,Anyang,,,,,,,,,917789.196792,PKU,tCO2,2010,36.1,114.333333333,China,East Asia,,,950301,
14,"Arlington, VA","City of Arlington, VA",,,,,,Administrative boundary of a local government,,,,2016,1257464,CDP,tCO2-eq,2015,38.881,-77.1372613,USA,North America,216700,2015,230050,2016
15,Aspen and Pitkin County,City of Aspen and Pitkin County,,,,,,A metropolitan area,,,,2016,,CDP,tCO2-eq,2014,39.195,-106.837002,USA,North America,8427,2010,7710,2010
16,Athens,City of Athens,,,Athens,Athens,,Administrative boundary of a local government,,,,2016,1260355,CDP,tCO2-eq,2014,37.984,23.727806,Greece,Europe,664046,2011,660000,2016
17,Atlanta,City of Atlanta,,,,Atlanta,,Administrative boundary of a local government,,,,2016,3548215,CDP,tCO2-eq,2014,33.755,-84.39,USA,North America,443775,2013,472522,2016
18,Auckland,Auckland Council,,,,,,Administrative boundary of a local government,,,,2016,9133523,CDP,tCO2-eq,2013,-36.841,174.74,New Zealand,Oceania,1569900,2015,1570000,2016
19,Austin,City of Austin,,,Austin,,Austin ,Combination of administrative divisions,,City ,2005,2016,6439000,CDP,tCO2-eq,2013,30.267,-97.733333,USA,North America,888204,2015,947890,2016
20,Balikpapan,,City of Balikpapan,,,,,,Municipality,,,,481003,carbonn,tCO2-eq,2015,-1.23793,116.852853,Indonesia,Southeast Asia,,,736806,2015
21,Baltimore,City of Baltimore,,,,,,Administrative boundary of a local government,,,,2017,4019044,CDP,tCO2-eq,2014,39.283,-76.616667,USA,North America,614664,2016,614664,2016
22,Bandung,,City of Bandung,,,,,,Municipality,,,,2660.98238,carbonn,tCO2-eq,2013,-6.91746,107.619123,Indonesia,Southeast Asia,,,2575478,2015
23,Bangalore,,Bengaluru Municipal Corporation,,Bangalore,,,,Municipality,,,,5568706.7,carbonn,tCO2-eq,2008,12.97029,77.596152,India,South Asia,,,12339447,2017
24,Baoding,,,Baoding,,,,,,,,,2946568.18924,PKU,tCO2,2010,38.8666666667,115.466666667,China,East Asia,,,1157891,
25,Baotou,,,Baotou,,,,,,,,,3363195.27344,PKU,tCO2,2010,40.65,109.833333333,China,East Asia,,,2070801,
26,Barcelona,,Municipality of Barcelona,,Barcelona,,Barcelona ,,Municipality,City ,2006,,3595726,carbonn,tCO2-eq,2012,41.38506,2.173403,Spain,Europe,,,1604555,2015
27,Barranquilla,,Municipality of Barranquilla,,,,,,Municipality,,,,3023515,carbonn,tCO2-eq,2013,10.987778,-74.788889,Colombia,Latin America & Caribbean,,,1228271,2017
28,Barreiro,Barreiro,,,,,,Administrative boundary of a local government,,,,2016,203441,CDP,tCO2,2014,38.667,-9.066667,Portugal,Europe,78764,2011,78764,2011
29,Basel,Basel-Stadt,,,,,,Administrative boundary of a local government,,,,2017,783932,CDP,tCO2-eq,2016,47.567,7.6,Switzerland,Europe,198206,2016,197000,2016
30,Batangas,Batangas City,,,,,,A metropolitan area,,,,2016,344419,CDP,tCO2-eq,2010,13.83,121,Philippines,Southeast Asia,332458,2015,329874,2015
31,Beijing,,,Bejing,Beijing,Beijing,Beijing ,,,Beijing Government Administered Area (Province) ,2006,,75104879.0068,PKU,tCO2,2010,39.9166666667,116.383333333,China,East Asia,,,18766000,
32,Belo Horizonte,Municipality of Belo Horizonte,,,,,,Administrative boundary of a local government,,,,2016,2804787,CDP,tCO2-eq,2013,-19.917,-43.933333,Brazil,Latin America & Caribbean,2502557,2015,2502557,2014
33,Benicia,City of Benicia,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2010,38.063,-122.156111,USA,North America,27450,2014,28174,2016
34,Benxi,,,Benxi,,,,,,,,,866087.529437,PKU,tCO2,2010,41.3,123.766666667,China,East Asia,,,1011377,
35,Betim,,Municipality of Betim,,,,,,Municipality,,,,1716901,carbonn,tCO2-eq,2013,-19,-44,Brazil,Latin America & Caribbean,,,408448,2012
36,Bhubaneswar,,Bhubaneswar Municipal Corporation,,,,,,Municipality,,,,528002.28,carbonn,tCO2-eq,2005,20.27,85.84,India,South Asia,,,837456,2011
37,Birmingham,Birmingham City Council,,,Birmingham,,,A metropolitan area,,,,2016,,CDP,tCO2,2013,52.483,-1.893611,United Kingdom,Europe,1101360,2014,1101400,2014
38,Blacksburg,Town of Blacksburg,,,,,,Administrative boundary of a local government,,,,2017,124461.79,CDP,tCO2-eq,2015,37.23,-80.417778,USA,North America,44215,2015,45038,2016
39,Bogor,Bogor City Government,,,,,,Administrative boundary of a local government,,,,2017,954020,CDP,tCO2-eq,2014,-6.597,106.7972,Indonesia,Southeast Asia,1047922,2015,1030720,2014
40,Bogotá,Bogotá Distrito Capital,,,,Bogota,,Administrative boundary of a local government,,,,2016,10679585.14,CDP,tCO2-eq,2015,4.711,-74.072222,Colombia,Latin America & Caribbean,7878783,2015,8080734,2017
41,Bologna,Comune di Bologna,,,,Bologna,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2009,44.507,11.351389,Italy,Europe,386181,2014,388257,2016
42,Bornova,Bornova Municipality,,,,,,0,,,,2016,,CDP,tCO2-eq,2011,38.47,27.221111,Turkey,"North Africa, Middle East, West Asia",416007,2012,416007,2012
43,Boston,City of Boston,,,,,,Administrative boundary of a local government,,,,2016,3603270,CDP,tCO2-eq,2014,42.358,-71.063611,USA,North America,646000,2013,673184,2016
44,Boulder,City of Boulder,,,Boulder,,,Administrative boundary of a local government,,,,2016,741287,CDP,tCO2-eq,2012,40.027,-105.251945,USA,North America,104810,2015,108090,2016
45,Bournemouth,City of Bournemouth,,,Bournemouth and Poole,,,Administrative boundary of a local government,,,,2016,350775,CDP,tCO2,2013,50.72,-1.88,United Kingdom,Europe,191400,2015,197700,2016
46,Brasília,City of Brasília,,,,Brasilia,,A metropolitan area,,,,2016,7739830,CDP,tCO2-eq,2012,-15.79,-47.88,Brazil,Latin America & Caribbean,1409671,2015,2977216,2016
47,"Brisbane, CA","City of Brisbane, CA",,,,,,0,,,,2016,,CDP,tCO2-eq,2016,37.681,-122.419167,USA,North America,4603,2015,4282,2010
48,Bristol,,Bristol City Council,,"Bristol, City of",,,,Independent municipality,,,,2127000,carbonn,tCO2-eq,2012,51.45451,-2.58791,United Kingdom,Europe,,,454200,2017
49,Brussels,,Brussels Capital Region,,Brussels,Brussels,,,State / Region,,,,3293000,carbonn,tCO2-eq,2011,50.85034,4.35171,Belgium,Europe,,,1175173,2017
50,Buenos Aires,City of Buenos Aires,,,,,,Administrative boundary of a local government,,,,2016,15561157,CDP,tCO2-eq,2014,-34.603,-58.381667,Argentina,Latin America & Caribbean,3054267,2015,3500000,2016
51,Buffalo City,,Buffalo City Metropolitan Municipality,,Buffalo City ,,,,Independent municipality,,,,2592942,carbonn,tCO2-eq,2007,-32.9833,27.8667,South Africa,Africa,,,755200,2011
52,Burlington,City of Burlington,,,,,,Administrative boundary of a local government,,,,2016,368077,CDP,tCO2,2010,44.476,-73.211944,USA,North America,42284,2015,42260,2016
53,Calgary,City of Calgary,,,,Calgary,Calgary ,Administrative boundary of a local government,,City ,2003,2016,10448332,CDP,tCO2-eq,2015,51.05,-114.066667,Canada,North America,1203915,2015,1239220,2016
54,Canberra,Canberra,,,,,,Administrative boundary of a local government,,,,2016,1757500,CDP,tCO2-eq,2015,-35.307,149.124417,Australia,Oceania,400000,2016,381488,2013
55,Cape Town,City of Cape Town,,,Cape Town,Cape Town,Cape Town ,Administrative boundary of a local government,,City ,2006,2016,9783734,CDP,tCO2-eq,2012,-33.925,18.423889,South Africa,Africa,3918830,2014,3840000,2016
56,Caracas,Alcaldía Metropolitana de Caracas,,,,,,A metropolitan area,,,,2016,14364103,CDP,tCO2-eq,2015,10.481,-66.903611,Venezuela,Latin America & Caribbean,3518590,2015,5290000,2016
57,Cardiff,City of Cardiff,,,Cardiff and Vale of Glamorgan,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2013,51.483,-3.183333,United Kingdom,Europe,354300,2014,361468,2016
58,Cascais,Cascais,,,,,,Administrative boundary of a local government,,,,2016,565382,CDP,tCO2,2010,38.7,-9.416667,Portugal,Europe,208122,2014,206479,2011
59,Changchun,,,Changchun,Changchun,,,,,,,,5029058.46744,PKU,tCO2,2010,43.8869444444,125.324722222,China,East Asia,,,4193073,
60,"Changsha, Hunan",,,Changsha,"Changsha, Hunan",,,,,,,,3955711.94,PKU,tCO2,2010,28.1961111111,112.972222222,China,East Asia,,,5288800,
61,Changzhou,,,Changzhou,,,,,,,,,4131838.87751,PKU,tCO2,2010,31.7833333333,119.966666667,China,East Asia,,,3290918,
62,Chengdou,,,Chengdou,,,,,,,,,9975976.2,PKU,tCO2,2010,30.6586111111,104.064722222,China,East Asia,,,10152632,
63,Chicago,City of Chicago,,,,Chicago,,Administrative boundary of a local government,,,,2017,16951471,CDP,tCO2-eq,2015,41.837,-87.684722,USA,North America,2720546,2015,2704958,2016
64,Chongqing,,,Chongqing,Chongqing,,,,,,,,9485242.8,PKU,tCO2,2010,29.5583333333,106.566666667,China,East Asia,,,8165500,
65,Cleveland,City of Cleveland,,,,,,Administrative boundary of a local government,,,,2016,7750563,CDP,tCO2-eq,2010,41.482,-81.669722,USA,North America,396815,2010,385809,2016
66,Cochin,,Cochin Municipal Corporation,,,,,,Municipality,,,,269372,carbonn,tCO2-eq,2008,9.931233,76.267304,India,South Asia,,,601574,2011
67,Coimbatore,,Coimbatore City Municipal Corporation,,,,,,Municipality,,,,5316666,carbonn,tCO2-eq,2015,11,76.9558,India,South Asia,,,1601438,2011
68,Columbus,City of Columbus,,,,,,Administrative boundary of a local government,,,,2016,5487400,CDP,tCO2-eq,2015,39.983,-82.983333,USA,North America,835957,2014,860090,2016
69,Copenhagen,City of Copenhagen,,,Copenhagen,Copenhagen,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2015,55.676,12.568333,Denmark,Europe,591481,2015,603000,2016
70,Curitiba,Municipality of Curitiba,,,,Curitiba,,Administrative boundary of a local government,,,,2016,2686488,CDP,tCO2-eq,2013,-25.417,-49.25,Brazil,Latin America & Caribbean,1751907,2010,1750000,2016
71,Dalian,,,Dalian,Dalian,,,,,,,,11448360.8442,PKU,tCO2,2010,38.9208333333,121.639166667,China,East Asia,,,6690432,2010
72,Dallas,City of Dallas,,,,,,Administrative boundary of a local government,,,,2016,119881,CDP,tCO2-eq,2010,32.776,-96.796667,USA,North America,1257676,2013,1317929,2016
73,Dandong,,,Dandong,,,,,,,,,650633.454572,PKU,tCO2,2010,40.1166666667,124.383333333,China,East Asia,,,865576,
74,Daqing,,,Daqing,,,,,,,,,3884885.60902,PKU,tCO2,2010,46.5833333333,125,China,East Asia,,,1649825,
75,Datong,,,Datong,,,,,,,,,1498970.42305,PKU,tCO2,2010,40.0833333333,113.3,China,East Asia,,,1737517,
76,"Davis, CA","City of Davis, CA",,,,,,Administrative boundary of a local government,,,,2016,348437,CDP,tCO2-eq,2010,38.554,-121.738056,USA,North America,65600,2010,68111,2016
77,Dehradun,,Dehradun Municipal Corporation,,,,,,Municipality,,,,1316744,carbonn,tCO2-eq,2008,30.318,78.029,India,South Asia,,,578420,2011
78,Denver,City of Denver,,,Denver,,Denver ,Administrative boundary of a local government,,City and County,2005,2016,4557000,CDP,tCO2-eq,2014,39.762,-104.881105,USA,North America,663862,2014,693060,2016
79,Detroit,City of Detroit,,,,,,Administrative boundary of a local government,,,,2016,5520240,CDP,tCO2-eq,2012,42.331,-83.045833,USA,North America,688701,2013,672795,2016
80,District of Columbia,District of Columbia,,,,,,Administrative boundary of a local government,,,,2016,3132786,CDP,tCO2-eq,2013,38.905,-77.016389,USA,North America,672228,2015,681170,2016
81,Dublin,Dublin City Council,,,Dublin,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2011,53.35,-6.260278,Ireland,Europe,527612,2011,553165,2016
82,Durban,City of Durban,,,,,,Other: geopolitical boundary - physical areas over which local government has jurisdictional control,,,,2016,11681810,CDP,tCO2-eq,2014,-29.883,31.05,South Africa,Africa,3555868,2015,3560000,2016
83,Durham,City of Durham,,,,,,Administrative boundary of a local government,,,,2016,1973070,CDP,tCO2-eq,2015,35.989,-78.907222,USA,North America,250815,2015,263016,2016
84,Edmonton,City of Edmonton,,,,,,Administrative boundary of a local government,,,,2016,10215142,CDP,tCO2-eq,2014,53.533,-113.5,Canada,North America,878000,2014,932546,2016
85,Ekurhuleni,,Ekurhuleni Metropolitan Municipality,,Ekurhuleni ,,,,Independent municipality,,,,19330397,carbonn,tCO2-eq,2014,26.223,28.167,South Africa,Africa,,,3178470,2011
86,"Emeryville, CA","City of Emeryville, CA",,,,,,Administrative boundary of a local government,,,,2016,127138,CDP,tCO2-eq,2014,37.831,-122.285278,USA,North America,10570,2014,11671,2016
87,Eugene,City of Eugene,,,,,,Administrative boundary of a local government,,,,2016,1106250,CDP,tCO2-eq,2015,44.052,-123.086667,USA,North America,151190,2013,166575,2016
88,Faro,Faro,,,,,,Administrative boundary of a local government,,,,2016,128,CDP,tCO2,2010,37.033,-7.916667,Portugal,Europe,61214,2014,64560,2011
89,Ferrara,Comune di Ferrara,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2007,44.833,11.616667,Italy,Europe,133155,2015,132499,2017
90,Flagstaff,City of Flagstaff,,,,,,Administrative boundary of a local government,,,,2016,621293.07,CDP,tCO2,2014,35.199,-111.631111,USA,North America,68667,2013,71459,2016
91,Florianópolis,Prefeitura de Florianópolis,,,,,,A metropolitan area,,,,2016,1305206,CDP,tCO2-eq,2013,-27.572,-48.6256,Brazil,Latin America & Caribbean,550000,2010,469690,2015
92,Fort Collins,,City of Fort Collins,,Fort Collins,,,,Municipality,,,,2055587,carbonn,tCO2-eq,2016,40.58526,-105.084,USA,North America,,,143986,2010
93,Fushun,,,Fushun,,,,,,,,,1495948.86969,PKU,tCO2,2010,41.8666666667,123.9,China,East Asia,,,1410000,
94,Fuxin,,,Fuxin,,,,,,,,,381202.916456,PKU,tCO2,2010,41.0166666667,121.65,China,East Asia,,,669317,
95,Fuzhou,,,Fuzhou,Fuzhou      ,,,,,,,,7188866.09081,PKU,tCO2,2010,26.0761111111,119.306388889,China,East Asia,,,4468076,
96,Gandhinagar,,Gandhinagar Municipal Corporation,,,,,,Municipality,,,,5424749,carbonn,tCO2-eq,2011,23.22,72.68,India,South Asia,,,292167,2011
97,Genova,Comune di Genova,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2011,44.407,8.933983,Italy,Europe,592995,2014,583973,2016
98,Gladsaxe Kommune,Gladsaxe Kommune,,,,,,A metropolitan area,,,,2017,247599,CDP,tCO2-eq,2015,55.733,12.483333,Denmark,Europe,67347,2015,66693,2014
99,Goiânia,City of Goiânia,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2010,-16.667,-49.25,Brazil,Latin America & Caribbean,2173141,2010,2458504,2016
100,Graz,,City of Graz,,,Graz,,,Independent municipality,,,,1218740,carbonn,tCO2-eq,1994,47.0667,15.4333,Austria,Europe,,,280200,2016
101,Greater London,Greater London Authority,,,London,London,London ,Administrative boundary of a local government,,Greater London ,2003,2016,20620000,CDP,tCO2-eq,2013,51.507,-0.1275,United Kingdom,Europe,8600000,2015,8673713,2016
102,Guangzhou,,,Guangzhou,"Guangzhou, Guangdong",Guangzhou,,,,,,,21069987.84,PKU,tCO2,2010,23.1333333333,113.266666667,China,East Asia,,,11547491,
103,Guaratinguetá,Estância Turística de Guaratinguetá,,,,,,Administrative boundary of a local government,,,,2016,497634,CDP,tCO2-eq,2015,-22.817,-45.227778,Brazil,Latin America & Caribbean,,2015,119073,2015
104,Guiyang,,,Guiyang,Guiyang,,,,,,,,1059495.97501,PKU,tCO2,2010,26.65,106.633333333,China,East Asia,,,3483100,
105,Gwalior,,Gwalior Municipal Corporation,,,,,,Municipality,,,,1195239,carbonn,tCO2-eq,2013,26.21829,78.182831,India,South Asia,,,1069276,2011
106,Gävle,,Gävle Municipality,,Gävle,,,,Municipality,,,,363052,carbonn,tCO2-eq,2011,60.6749,17.1413,Sweden,Europe,,,75451,2016
107,Haerbin,,,Haerbin,Haerbin,,,,,,,,10142882.88,PKU,tCO2,2010,45.75,126.633333333,China,East Asia,,,5282083,
108,Haikou,,,Haikou,Haikou,,,,,,,,880097.8,PKU,tCO2,2010,20.0427777778,110.341666667,China,East Asia,,,2046189,2010
109,Hamburg,Free and Hanseatic City of Hamburg,,,Hamburg,Hamburg,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2013,53.565,10.001389,Germany,Europe,1762791,2014,1787408,2015
110,"Hamilton, ON",City of Hamilton,,,,,,A metropolitan area,,,,2016,6304593,CDP,tCO2-eq,2012,43.25,-79.866667,Canada,North America,519949,2011,536917,2001
111,Handan,,,Handan,,,,,,,,,3005643.73272,PKU,tCO2,2010,36.6,114.483333333,China,East Asia,,,941427,
112,Hangzhou,,,Hangzhou,Hangzhou,,,,,,,,20319589.9607,PKU,tCO2,2010,30.25,120.166666667,China,East Asia,,,7970000,
113,Hat Yai,,Hat Yai City Municipality,,,,,,Municipality,,,,477723,carbonn,tCO2-eq,2013,7.01621,100.47288,Thailand,Southeast Asia,,,158218,2012
114,Hayward,City of Hayward,,,,,,Administrative boundary of a local government,,,,2016,861854,CDP,tCO2-eq,2015,37.669,-122.080796,USA,North America,158985,2015,158937,2016
115,Hefei,,,Hefei,Hefei,,,,,,,,5131200.36,PKU,tCO2,2010,31.8666666667,117.283333333,China,East Asia,,,5670000,
116,Hegang,,,Hegang,,,,,,,,,306548.753366,PKU,tCO2,2010,47.35,130.3,China,East Asia,,,664471,
117,Heidelberg,Stadt Heidelberg,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2011,49.417,8.716667,Germany,Europe,144948,2014,144000,2016
118,Heilongjiang,,,Yichun,,,,,,,,,350520.291081,PKU,tCO2,2010,47.7333333333,128.9,China,East Asia,,,1148126,2010
119,Helsinki,City of Helsinki,,,Helsinki,Helsinki,,Administrative boundary of a local government,,,,2016,2096206,CDP,tCO2-eq,2014,60.171,24.9375,Finland,Europe,612664,2014,629512,2016
120,Hengyang,,,Hengyang,,,,,,,,,1030434.76712,PKU,tCO2,2010,26.9,112.6,China,East Asia,,,1135166,
121,"Hermosa Beach, CA","City of Hermosa Beach, CA",,,,,,Administrative boundary of a local government,,,,2016,123218,CDP,tCO2-eq,2012,33.866,-118.399722,USA,North America,19750,2015,19789,2016
122,Hiroshima,City of Hiroshima,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2014,34.385,132.455278,Japan,East Asia,1191030,2015,1154391,2016
123,Hjørring,Municipality of Hjørring,,,,,,Other: Energy plan for Hjoerring Municipality,,,,2016,289000,CDP,tCO2,2014,57.467,9.983333,Denmark,Europe,65308,2016,67121,2008
124,Hoeje-Taastrup Kommune,Hoeje-Taastrup Kommune,,,,,,Administrative boundary of a local government,,,,2016,173000,CDP,tCO2,2014,55.648,12.27,Denmark,Europe,50002,2016,48853,2014
125,Hohhot,,,Huhehaote,Hohhot,,,,,,,,2721836.64,PKU,tCO2,2010,40.8166666667,111.65,China,East Asia,,,1980774,
126,Hong Kong,Government of Hong Kong Special Administrative Region,,,Hong Kong,Hong Kong,,Administrative boundary of a local government,,,,2017,44876460,CDP,tCO2-eq,2014,22.3,114.2,China,East Asia,7336600,2016,7310000,2016
127,Houston,City of Houston,,,,Houston,,Administrative boundary of a local government,,,,2016,16075539,CDP,tCO2-eq,2014,29.763,-95.383056,USA,North America,2195914,2013,2303482,2016
128,Huaibei,,,Huaibei,,,,,,,,,1322234.51304,PKU,tCO2,2010,33.58,116.47,China,East Asia,,,1113321,
129,Huainan,,,Huainan,,,,,,,,,1124851.26,PKU,tCO2,2010,32.6166666667,116.983333333,China,East Asia,,,1666826,
130,Huangshi,,,Huangshi,,,,,,,,,563460.779364,PKU,tCO2,2010,30.2166666667,115.083333333,China,East Asia,,,691963,
131,Hue,,Hue City,,,,,,Municipality,,,,1040337,carbonn,tCO2-eq,2011,16.450001,107.583336,Vietnam,Southeast Asia,,,354124,2015
132,Hyderabad,,Greater Hyderabad Municipal Corporation,,,,,,Independent municipality,,,,2196031,carbonn,tCO2-eq,2010,17.366,78.476,India,South Asia,,,6809970,2011
133,Incheon,Incheon Metropolitan City,,,,,,Administrative boundary of a local government,,,,2016,57719912,CDP,tCO2-eq,2015,37.483,126.633333,South Korea,East Asia,2983484,2015,3002645,2017
134,Indianapolis,City of Indianapolis,,,,,,Administrative boundary of a local government,,,,2017,726155.11,CDP,tCO2,2013,39.791,-86.148,USA,North America,853000,2015,855164,2016
135,Indore,,Indore Municipal Corporation,,,,,,Municipality,,,,1145839,carbonn,tCO2-eq,2007,22.723481,75.860184,India,South Asia,,,1994397,2011
136,Iowa,City of Iowa City,,,,,,Administrative boundary of a local government,,,,2016,590282,CDP,tCO2-eq,2013,41.66,-91.5342,USA,North America,73415,2015,74398,2016
137,Istanbul,,Istanbul Metropolitan Municipality,,Istanbul,,,,Special municipality / Federal district,,,,37199137,carbonn,tCO2-eq,2010,41.00824,28.978359,Turkey,"North Africa, Middle East, West Asia",,,15029231,2017
138,Izmir,,Izmir Metropolitan Municipality,,,,,,Municipality,,,,50287659,carbonn,tCO2-eq,2015,38.41842,27.14283,Turkey,"North Africa, Middle East, West Asia",,,4273677,2017
139,Jaipur,,Jaipur Municipal Corporation,,,,,,Municipality,,,,7610894,carbonn,tCO2-eq,2010,26.926,75.8235,India,South Asia,,,3046189,2011
140,Jakarta,Jakarta City Government,,,,Jakarta,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2014,-6.2,106.816667,Indonesia,Southeast Asia,10075300,2015,10075310,2014
141,Jerusalem,,Jerusalem Municipality,,,,,,Municipality,,,,2353555,carbonn,tCO2-eq,2007,31.7833,35.2167,Israel,"North Africa, Middle East, West Asia",,,882652,2016
142,Jiamusi,,,Jiamusi,,,,,,,,,495170.672101,PKU,tCO2,2010,46.8,130.316666667,China,East Asia,,,881711,
143,Jiaozhuo,,,Jiaozhuo,,,,,,,,,815447.132719,PKU,tCO2,2010,35.2430555556,113.223055556,China,East Asia,,,865413,
144,Jilin,,,Jilin,Jilin,,,,,,,,2348914.71091,PKU,tCO2,2010,43.8666666667,126.55,China,East Asia,,,1975121,
145,"Jinan, Shandong",,,Jinan,"Jinan, Shandong",,,,,,,,7731542.72,PKU,tCO2,2010,36.6666666667,116.983333333,China,East Asia,,,4693700,
146,Jingzhou,,,Jingzhou,,,,,,,,,778879.269628,PKU,tCO2,2010,30.3333333333,112.216666667,China,East Asia,,,1154086,
147,Jinzhou,,,Jinzhou,,,,,,,,,918688.574202,PKU,tCO2,2010,41.1166666667,121.133333333,China,East Asia,,,1091799,
148,Jixi,,,Jixi,,,,,,,,,476065.669992,PKU,tCO2,2010,45.3,130.966666667,China,East Asia,,,862959,
149,Johannesburg,City of Johannesburg,,,Johannesburg,Johannesburg,,Administrative boundary of a local government,,,,2016,9068358,CDP,tCO2-eq,2014,-26.204,28.045556,South Africa,Africa,4764381,2015,4434827,2011
150,Kadiovacik,Village of Kadiovacik,,,,,,Administrative boundary of a local government,,,,2016,404.65,CDP,tCO2,2015,38.343,26.553367,Turkey,"North Africa, Middle East, West Asia",216,2016,,
151,Kaifeng,,,Kaifeng,,,,,,,,,882357.931934,PKU,tCO2,2010,34.8,114.3,China,East Asia,,,826961,
152,Kaohsiung,Kaohsiung City Government,,,,,,Administrative boundary of a local government,,,,2016,43502687.67,CDP,tCO2-eq,2014,22.633,120.266667,Taiwan,East Asia,2778729,2015,2778918,2016
153,Khelang Nakhon,,Kalangnakorn Town Municipality,,,,,,Municipality,,,,162378,carbonn,tCO2-eq,2015,18.2919,99.5047,Thailand,Southeast Asia,,,60100,2017
154,Knoxville,City of Knoxville,,,,,,Administrative boundary of a local government,,,,2016,2061435,CDP,tCO2-eq,2012,35.973,-83.942222,USA,North America,184281,2014,186239,2016
155,Kota,,Kota Municipal Corporation,,,,,,Municipality,,,,1099038,carbonn,tCO2-eq,2010,25.18,75.83,India,South Asia,,,1001694,2011
156,Kunming,,,Kuiming,Kunming,,,,,,,,2649621.63815,PKU,tCO2,2010,25.0666666667,102.683333333,China,East Asia,,,4575000,
157,Kyoto,,Kyoto City,,Kyoto,,,,Municipality,,,,7684000,carbonn,tCO2-eq,2011,35.011636,135.768029,Japan,East Asia,,,1474811,2015
158,La Paz,Municipalidad de La Paz,,,,,,Administrative boundary of a local government,,,,2016,1152922.4,CDP,tCO2-eq,2012,-16.5,-68.15,Bolivia,Latin America & Caribbean,789541,2015,877363,2008
159,Lagos,City of Lagos,,,,,,A metropolitan area,,,,2016,29426266,CDP,tCO2-eq,2014,6.455,3.384082,Nigeria,Africa,21000000,2016,21000000,2015
160,Lahti,City of Lahti,,,,,,Administrative boundary of a local government,,,,2017,717200,CDP,tCO2-eq,2015,60.983,25.65,Finland,Europe,119452,2016,118885,2016
161,"Lake Forest, IL","City of Lake Forest, IL",,,,,,A metropolitan area,,,,2016,,CDP,tCO2-eq,2007,42.235,-87.850833,USA,North America,19375,2010,19388,2016
